image_path,steering_angle
images/1764134379863.jpg,0.000
images/1764134380163.jpg,0.000
images/1764134380428.jpg,0.000
images/1764134380649.jpg,0.000
images/1764134380919.jpg,0.000
images/1764134381255.jpg,0.000
images/1764134381566.jpg,0.000
images/1764134381865.jpg,0.000
images/1764134382150.jpg,0.000
images/1764134382412.jpg,0.000
images/1764134382675.jpg,0.000
images/1764134382937.jpg,0.000
images/1764134383208.jpg,0.000
images/1764134383470.jpg,0.000
images/1764134383742.jpg,0.000
images/1764134384004.jpg,0.000
images/1764134384267.jpg,0.000
images/1764134384529.jpg,0.000
images/1764134384791.jpg,0.000
images/1764134385053.jpg,0.000
images/1764134385316.jpg,0.000
images/1764134385578.jpg,0.000
images/1764134385840.jpg,0.000
images/1764134386111.jpg,0.000
images/1764134386373.jpg,0.000
images/1764134386636.jpg,0.000
images/1764134386898.jpg,0.000
images/1764134387160.jpg,0.000
images/1764134387423.jpg,0.000
images/1764134387685.jpg,0.000
images/1764134387947.jpg,0.000
images/1764134388209.jpg,0.000
images/1764134388472.jpg,0.000
images/1764134388742.jpg,0.000
images/1764134389016.jpg,0.000
images/1764134389262.jpg,0.000
images/1764134389506.jpg,0.000
images/1764134389761.jpg,0.000
images/1764134390015.jpg,0.000
images/1764134390260.jpg,0.000
images/1764134390505.jpg,0.000
images/1764134390760.jpg,0.000
images/1764134391013.jpg,0.000
images/1764134391259.jpg,0.000
images/1764134391520.jpg,0.000
images/1764134391782.jpg,0.000
images/1764134392045.jpg,0.000
images/1764134392293.jpg,0.000
images/1764134392549.jpg,0.000
images/1764134392798.jpg,0.000
images/1764134393046.jpg,0.000
images/1764134393293.jpg,0.000
images/1764134393542.jpg,0.000
images/1764134393790.jpg,0.000
images/1764134394047.jpg,0.000
images/1764134394311.jpg,0.000
images/1764134394575.jpg,0.000
images/1764134394843.jpg,0.000
images/1764134395091.jpg,0.000
images/1764134395339.jpg,0.000
images/1764134395594.jpg,0.000
images/1764134395851.jpg,0.000
images/1764134396099.jpg,0.000
images/1764134396346.jpg,0.000
images/1764134396593.jpg,0.000
images/1764134396842.jpg,0.000
images/1764134397097.jpg,0.000
images/1764134397345.jpg,0.000
images/1764134397593.jpg,0.000
images/1764134397822.jpg,0.000
images/1764134398051.jpg,0.000
images/1764134398281.jpg,0.000
images/1764134398528.jpg,0.000
images/1764134398790.jpg,0.000
images/1764134399059.jpg,0.000
images/1764134399319.jpg,0.000
images/1764134399577.jpg,0.000
images/1764134399827.jpg,0.000
images/1764134400080.jpg,0.000
images/1764134400332.jpg,0.000
images/1764134400582.jpg,0.000
images/1764134400841.jpg,0.000
images/1764134401103.jpg,0.000
images/1764134401367.jpg,0.000
images/1764134401634.jpg,0.000
images/1764134401910.jpg,0.000
images/1764134402213.jpg,0.000
images/1764134402511.jpg,0.000
images/1764134402801.jpg,0.000
images/1764134403053.jpg,0.000
images/1764134403302.jpg,0.000
images/1764134403550.jpg,0.000
images/1764134403807.jpg,0.000
images/1764134404055.jpg,0.000
images/1764134404303.jpg,0.000
images/1764134404551.jpg,0.000
images/1764134404816.jpg,0.000
images/1764134405075.jpg,0.000
images/1764134405332.jpg,0.000
images/1764134405618.jpg,0.000
images/1764134406175.jpg,0.000
images/1764134406539.jpg,0.000
images/1764134406996.jpg,0.000
images/1764134407382.jpg,0.000
images/1764134407658.jpg,0.000
images/1764134407925.jpg,0.000
images/1764134408192.jpg,0.000
images/1764134408446.jpg,0.000
images/1764134408705.jpg,0.000
images/1764134408960.jpg,0.000
images/1764134409228.jpg,0.000
images/1764134409518.jpg,0.000
images/1764134409812.jpg,0.000
images/1764134410096.jpg,0.000
images/1764134410362.jpg,0.000
images/1764134410632.jpg,0.000
images/1764134410877.jpg,0.000
images/1764134411132.jpg,0.000
images/1764134411385.jpg,0.000
images/1764134411645.jpg,0.000
images/1764134411890.jpg,0.000
images/1764134412140.jpg,0.000
images/1764134412385.jpg,0.000
images/1764134412634.jpg,0.000
images/1764134412857.jpg,0.000
images/1764134413101.jpg,0.000
images/1764134413370.jpg,0.000
images/1764134413642.jpg,0.000
images/1764134413891.jpg,0.000
images/1764134414137.jpg,0.000
images/1764134414408.jpg,0.000
images/1764134414680.jpg,0.000
images/1764134414972.jpg,0.000
images/1764134415237.jpg,0.000
images/1764134415487.jpg,0.000
images/1764134415768.jpg,0.000
images/1764134416076.jpg,0.000
images/1764134416373.jpg,0.000
images/1764134416640.jpg,0.000
images/1764134416890.jpg,0.000
images/1764134417160.jpg,0.000
images/1764134417414.jpg,0.000
images/1764134417678.jpg,0.000
images/1764134417931.jpg,0.000
images/1764134418190.jpg,0.000
images/1764134418450.jpg,0.000
images/1764134418703.jpg,0.000
images/1764134418970.jpg,0.000
images/1764134419225.jpg,0.000
images/1764134419477.jpg,0.000
images/1764134419734.jpg,0.000
images/1764134419992.jpg,0.000
images/1764134420266.jpg,0.000
images/1764134420515.jpg,0.000
images/1764134420766.jpg,0.000
images/1764134421012.jpg,0.000
images/1764134421275.jpg,0.000
images/1764134421531.jpg,0.000
images/1764134421781.jpg,0.000
images/1764134422027.jpg,0.000
images/1764134422303.jpg,0.000
images/1764134422559.jpg,0.000
images/1764134422815.jpg,0.000
images/1764134423074.jpg,0.000
images/1764134423329.jpg,0.000
images/1764134423579.jpg,0.000
images/1764134423916.jpg,0.000
images/1764134424344.jpg,0.000
images/1764134424647.jpg,0.000
images/1764134424920.jpg,0.000
images/1764134425187.jpg,0.000
images/1764134425453.jpg,0.000
images/1764134425713.jpg,0.000
images/1764134425977.jpg,0.000
images/1764134426247.jpg,0.000
images/1764134426557.jpg,0.000
images/1764134426873.jpg,0.000
images/1764134427162.jpg,0.000
images/1764134427427.jpg,0.000
images/1764134427694.jpg,0.000
images/1764134427998.jpg,0.000
images/1764134428343.jpg,0.000
images/1764134428631.jpg,0.000
images/1764134428899.jpg,0.000
images/1764134429200.jpg,0.000
images/1764134429477.jpg,0.000
images/1764134429771.jpg,0.000
images/1764134430073.jpg,0.000
images/1764134430351.jpg,0.000
images/1764134430624.jpg,0.000
images/1764134430901.jpg,0.000
images/1764134431172.jpg,0.000
images/1764134431445.jpg,0.000
images/1764134431716.jpg,0.000
images/1764134431990.jpg,0.000
images/1764134432290.jpg,0.000
images/1764134432567.jpg,0.000
images/1764134432829.jpg,0.000
images/1764134433098.jpg,0.000
images/1764134433370.jpg,0.000
images/1764134433631.jpg,0.000
images/1764134433894.jpg,0.000
images/1764134434159.jpg,0.000
images/1764134434424.jpg,0.000
images/1764134434686.jpg,0.000
images/1764134434948.jpg,0.000
images/1764134435210.jpg,0.000
images/1764134435462.jpg,0.000
images/1764134435716.jpg,0.000
images/1764134435969.jpg,0.000
images/1764134436219.jpg,0.000
images/1764134436490.jpg,0.000
images/1764134436753.jpg,0.000
images/1764134437015.jpg,0.000
images/1764134437277.jpg,0.000
images/1764134437540.jpg,0.000
images/1764134437811.jpg,0.000
images/1764134438074.jpg,0.000
images/1764134438336.jpg,0.000
images/1764134438603.jpg,0.000
images/1764134438864.jpg,0.000
images/1764134439126.jpg,0.000
images/1764134439390.jpg,0.000
images/1764134439652.jpg,0.000
images/1764134439915.jpg,0.000
images/1764134440177.jpg,0.000
images/1764134440449.jpg,0.000
images/1764134440719.jpg,0.000
images/1764134440993.jpg,0.000
images/1764134441257.jpg,0.000
images/1764134441518.jpg,0.000
images/1764134441781.jpg,0.000
images/1764134442043.jpg,0.000
images/1764134442306.jpg,0.000
images/1764134442568.jpg,0.000
images/1764134442832.jpg,0.000
images/1764134443094.jpg,0.000
images/1764134443356.jpg,0.000
images/1764134443618.jpg,0.000
images/1764134443880.jpg,0.000
images/1764134444143.jpg,0.000
images/1764134444407.jpg,0.000
images/1764134444669.jpg,0.000
images/1764134444931.jpg,0.000
images/1764134445202.jpg,0.000
images/1764134445463.jpg,0.000
images/1764134445725.jpg,0.000
images/1764134445988.jpg,0.000
images/1764134446250.jpg,0.000
images/1764134446512.jpg,0.000
images/1764134446775.jpg,0.000
images/1764134447038.jpg,0.000
images/1764134447302.jpg,0.000
images/1764134447573.jpg,0.000
images/1764134447836.jpg,0.000
images/1764134448107.jpg,0.000
images/1764134448370.jpg,0.000
images/1764134448642.jpg,0.000
images/1764134448907.jpg,0.000
images/1764134449179.jpg,0.000
images/1764134449431.jpg,0.000
images/1764134449681.jpg,0.000
images/1764134449931.jpg,0.000
images/1764134450183.jpg,0.000
images/1764134450433.jpg,0.000
images/1764134450685.jpg,0.000
images/1764134450935.jpg,0.000
images/1764134451188.jpg,0.000
images/1764134451440.jpg,0.000
images/1764134451690.jpg,0.000
images/1764134451941.jpg,0.000
images/1764134452191.jpg,0.000
